Event,Market,Market Type,Selection,Country,Event Type,Competition,Bookie,Event Day,Customer currency,Nr of Bets,Stake,Customer turnover,Customer price adjusted turnover,Customer P/L,ROI
07 Vestur vs. B36 Tórshavn,Football,ah,away,Faroe Islands,normal,Faroe Islands Premier League (Vodafonedeildin),fair,2023-08-07,units,2,1.5433884297520661,1.5433884297520661,,-1.5433884297520661,-1.0
07 Vestur vs. EB/Streymur,Football,ah,away,Faroe Islands,normal,Faroe Islands Premier League (Vodafonedeildin),pin88,2023-08-31,units,1,1.2396694214876034,0.0,,0.0,
07 Vestur vs. EB/Streymur,Football,ah,home,Faroe Islands,normal,Faroe Islands Premier League (Vodafonedeildin),pin88,2023-08-31,units,1,1.1363636363636365,0.0,,0.0,
07 Vestur vs. EB/Streymur,Football,ah,n/a,Faroe Islands,normal,Faroe Islands Premier League (Vodafonedeildin),fair,2023-08-31,units,1,1.7603305785123966,1.7603305785123966,,1.5495867768595042,0.8802816901408451
1. FC Heidenheim 1846 vs. VfL Bochum 1848,Football (Half Time),ahou,over,Germany,normal,Germany Bundesliga,pin88,2023-11-26,units,1,0.2066115702479339,0.2066115702479339,,0.15495867768595042,0.75
1. FC Heidenheim 1846 vs. VfL Bochum 1848,Football (Half Time),ou,over,Germany,normal,Germany Bundesliga,fair,2023-11-26,units,2,0.6146694214876034,0.6146694214876034,,-0.612603305785124,-0.9966386554621848
1. FC Nurnberg Women vs. TSG 1899 Hoffenheim II Women,Football,ah,away,Germany,normal,Germany Bundesliga 2 Women,ibc,2023-05-29,units,3,1.8068181818181819,0.902892561983471,,-0.902892561983471,-1.0
1. FC Nurnberg Women vs. TSG 1899 Hoffenheim II Women,Football,ah,away,Germany,normal,Germany Bundesliga 2 Women,pin88,2023-05-29,units,4,6.707644628099174,4.12603305785124,,-4.1291322314049586,-1.000751126690035
1. FC Nurnberg Women vs. TSG 1899 Hoffenheim II Women,Football,ah,home,Germany,normal,Germany Bundesliga 2 Women,ibc,2023-05-29,units,4,1.7954545454545456,1.6704545454545454,,1.2747933884297522,0.7631416202844775
1. FC Nurnberg Women vs. TSG 1899 Hoffenheim II Women,Football,ah,home,Germany,normal,Germany Bundesliga 2 Women,pin88,2023-05-29,units,11,7.294421487603306,5.492768595041322,,4.414256198347108,0.803648674064322
